,DP2e,Dist_CBD2,EPC_A_emision,EPC_B_emision,EPC_C_emision,EPC_D_emision,EPC_E_emision,EPC_F_emision,EPC_G_emision,Estado_contemporaneidad_calidad,Ausencia_singulares_presencia_arm_cocina,FIRE_pr,H_tamaviv,Income_Household_2016,Ln_total_pr,Precio_red,Year_1982_2006,Year_After_2007,bool_aire_acondicionado,bool_ascensor,bool_calefaccion,bool_piscina_comunitaria,desplaz_ponderado,dum_mar_200m,grand_terr_20m2,opin_ruido_si_pr,ratio_bano_hab,superficie
59,10.6103502677,4.17507451017126,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19107735867168943,-0.17256880561206486,11.0968699455,1.32502113014,20562.1530015,11.8130300574,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0139989281,0.0,0.0,38.3290840991,0.5,40.0
60,12.788150595,3.139080701736169,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3857169213688667,0.40919197480609176,11.0787324905,1.43166304395,16745.1882371,11.9117015849,10000.0,0.0,0.0,0.0,1.0,0.0,0.0,27.4038782377,0.0,0.0,41.3949272998,0.333333333333,65.0
61,10.819397579,3.415779278922785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3065079517407798,0.27334625080628033,11.0787315369,1.48909050089,32257.8621635,12.46843691,0.0,0.0,0.0,1.0,0.0,1.0,0.0,26.8071988513,0.0,0.0,40.3350738775,0.4,125.0
62,12.1964917419,3.596644393954429,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42907024028747986,0.45231314596184097,11.0787353516,1.50028949995,31335.8245573,11.8775685786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1730949514,0.0,0.0,43.0038421765,0.333333333333,74.0
63,11.3845571456,4.96364078642364,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.573668108223133,0.9415589708858365,11.0787334442,1.38643900294,31804.6742086,12.1007121299,7000.0,0.0,0.0,0.0,1.0,0.0,0.0,26.4692303384,0.0,0.0,37.1700179525,0.25,80.0
64,13.2408047046,2.966335627123716,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.3065079517407798,0.27334625080628033,11.1044443138,1.48358122295,19260.6719447,12.1007121299,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.7052474347,0.0,0.0,40.4715324363,0.333333333333,66.0
65,8.81847288123,4.017626610898855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1909798715981333,0.4591060259980577,11.0787334442,1.42174257359,30116.0711353,12.7038130297,0.0,1.0,0.0,1.0,1.0,1.0,0.0,27.1079627436,0.0,0.0,36.2978780582,0.5,84.0
66,12.1854519986,3.587491922393728,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3857169213688667,0.40919197480609176,11.0787334442,1.50244621114,31107.8673338,11.9829290942,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.2007067198,0.0,0.0,42.9708428775,0.5,41.0
67,10.4737377816,3.47329664658523,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2120778739088471,0.9734547141683865,15.3419499397,1.35370486594,35955.9608281,12.043553716,5000.0,0.0,0.0,0.0,1.0,0.0,0.0,27.1520097408,0.0,0.0,46.0661202325,0.5,44.0
68,11.1485528575,3.770944756644691,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.6670917301719105,0.4138341199929753,11.0787315369,1.37732371925,23021.3323965,12.3673407931,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.5065592668,0.0,0.0,41.6069001598,0.25,85.0
69,11.178643197,3.64724513410737,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1186542519600695,0.4457298632755254,11.0787286758,1.37546785726,21812.7921355,12.2010601037,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0299026788,0.0,0.0,36.8544503129,0.333333333333,55.0
70,8.8425534785,3.58718956641024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.8617312928690875,-0.16792666042518126,11.0787305832,1.34408504775,33062.5545341,11.5617156291,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9759248374,0.0,0.0,35.0265270767,0.5,35.0
71,9.42086624006,3.58439744159004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07608279781066382,0.4956439144674913,11.0787343979,1.40466516275,31193.2739623,11.9766594812,6000.0,0.0,0.0,1.0,1.0,1.0,0.0,27.1050749802,0.0,0.0,38.9378344898,0.5,45.0
72,11.809752261,4.1744030788785,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28450098062046697,0.35515604528079625,11.0787296295,1.27803780642,15129.0661626,11.5898865061,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.5776371056,0.0,0.0,38.6305531929,0.5,70.0
73,11.3391140297,4.33021143845876,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19107735867168943,-0.17256880561206486,11.0938478708,1.33661433432,19025.6873627,12.5425448822,0.0,0.0,0.0,1.0,1.0,1.0,0.0,27.9762244135,0.0,1.0,38.2757695148,0.25,120.0
74,9.67543715148,3.626852507759228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.19767362643960704,0.07825726008558742,11.0787334442,1.40958495814,30748.4945086,11.9183905731,7000.0,0.0,0.0,0.0,1.0,0.0,0.0,27.3302235513,0.0,0.0,39.8625212318,0.5,50.0
75,11.5094642234,4.63360645249611,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19107735867168943,-0.17256880561206486,11.0787277222,1.50572388781,32274.2539485,12.0725412529,5000.0,0.0,0.0,1.0,1.0,0.0,0.0,26.3041319806,0.0,0.0,48.5858601343,0.333333333333,69.0
76,11.3870004804,4.98907343629567,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.19777111351316312,0.7099320916957099,11.0787334442,1.67696654296,36665.3938986,12.0951410848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9155419944,0.0,0.0,49.29411922,0.333333333333,70.0
77,11.1653601112,2.762470643293315,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.551563650029264,0.31861815681136274,14.7210745811,1.42677370137,26533.401338,11.8122890422,2100.0,0.0,0.0,0.0,1.0,1.0,0.0,26.6759677161,0.0,0.0,36.9834351025,0.333333333333,65.0
78,11.7307014873,2.78110449901233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.551563650029264,0.31861815681136274,15.2454109192,1.42738743125,27768.6890452,12.149502294,6000.0,0.0,0.0,1.0,1.0,1.0,0.0,26.544005696,0.0,0.0,45.0278602653,0.333333333333,62.0
79,11.2767269071,3.72353105613544,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.0787315369,1.42585331511,25558.4531568,11.9117015849,7000.0,0.0,0.0,1.0,1.0,0.0,0.0,28.5696187648,0.0,0.0,46.2216936866,0.5,55.0
80,11.4641915542,4.83785342915114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.19767362643960704,0.07825726008558742,11.0787277222,1.56821688391,34545.3964102,12.5389670608,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.1593034045,0.0,0.0,43.7606427527,0.5,150.0
81,11.2568095331,3.71842094005514,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8359602825722634,-2.2698417011699625,11.0787315369,1.39630826753,30847.0438763,11.9766594812,0.0,0.0,0.0,1.0,1.0,1.0,0.0,27.6788149921,0.0,0.0,38.9762569269,0.333333333333,67.0
82,11.4761931154,3.92910228881488,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.551563650029264,0.31861815681136274,11.0787305832,1.26852555321,19190.4945926,11.8350089641,0.0,0.0,0.0,1.0,1.0,1.0,0.0,28.2046399408,0.0,0.0,36.6737694432,0.333333333333,60.0
83,9.74696376462,4.17119587058688,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8407307776319302,0.9780968593552699,11.1405179501,1.30988433521,20420.1618648,11.5991031612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6220016191,0.0,0.0,36.3723495854,0.5,45.0
84,10.3771302622,4.96912976523164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.0787305832,0.962008529292,26696.0852308,11.8719975335,0.0,0.0,0.0,1.0,1.0,1.0,0.0,25.8490016152,0.0,0.0,40.0447290422,0.333333333333,65.0
